,news,url,relevance
0,Philcoin Held One of the Biggest Crypto Adoption Events in South Africa,https://finance.yahoo.com/news/philcoin-held-one-biggest-crypto-085713928.html,1
1,Bitcoin's Inverse Correlation With Inflation-Adjusted Bond Yield Hits Record High,https://finance.yahoo.com/news/bitcoins-inverse-correlation-inflation-adjusted-083406631.html,1
2,Singapore's crypto aspirations shaken by Three Arrows collapse,https://finance.yahoo.com/news/singapores-crypto-aspirations-shaken-three-073639185.html,1
3,"Factbox - Singapore's rise, and falter, as Asia cryptocurrency hub",https://finance.yahoo.com/news/factbox-singapores-rise-falter-asia-072345847.html,1
4,Voyager crypto refund plan unconfirmed; fiat to be returned in full,https://finance.yahoo.com/news/voyager-crypto-refund-plan-unconfirmed-065917619.html,1
5,Cryptoverse: Shrimps and whales keep bitcoin afloat,https://finance.yahoo.com/news/cryptoverse-shrimps-whales-keep-bitcoin-051220780.html,1
6,Will be right back...,https://finance.yahoo.com/m/99864d2f-1716-3f00-9b32-98146ea4e127/argo-is-using-derivatives-to.html,1
7,Bitcoin Traces an Ominous Chart Pattern Evoking Plunge in June,https://finance.yahoo.com/news/bitcoin-traces-ominous-chart-pattern-043246942.html,1
8,"GameStop NFT marketplace goes live, gets closer to Web3 gaming",https://finance.yahoo.com/news/gamestop-nft-marketplace-goes-live-040441128.html,1
9,"Brazilian Fintech PicPay to Launch Crypto Exchange, Real-Tied Stablecoin",https://finance.yahoo.com/news/brazilian-fintech-picpay-launch-crypto-034631806.html,1
10,Bitcoin miners in Texas halt operations amid heat wave,https://finance.yahoo.com/news/bitcoin-miners-texas-halt-operations-031048059.html,1
11,Why Singapore needs to rethink its approach to regulating crypto,https://finance.yahoo.com/news/why-singapore-needs-rethink-approach-030200037.html,1
12,G20 Finance Regulator to Propose ‘Robust’ Crypto Framework by October,https://finance.yahoo.com/news/g20-finance-regulator-propose-robust-015008941.html,1
13,Bitcoin (BTC) Fear & Greed Index Hits Reverse as Risk Aversion Spreads,https://finance.yahoo.com/news/bitcoin-btc-fear-greed-index-012234893.html,1
14,"Bitcoin price sinks below US$20K, erases weekly progress",https://finance.yahoo.com/news/bitcoin-price-sinks-below-us-012051155.html,1
15,Crypto Market Daily Highlights – SOL and DOGE Sink in Bearish Session,https://finance.yahoo.com/news/crypto-market-daily-highlights-sol-003543573.html,1
16,"Bitcoin Falls a Fourth Day to About $20,000 Amid Dollar Strength",https://finance.yahoo.com/news/bitcoin-falls-fourth-day-20-002732059.html,1
17,First Mover Asia: Does Anyone Care Anymore If Bitcoin Dips Below $20K?,https://finance.yahoo.com/news/first-mover-asia-does-anyone-001535110.html,1
18,GameStop launches NFT platform amid broader company shakeup,https://finance.yahoo.com/news/game-stop-launches-nft-platform-211953815.html,1
19,Bitcoin Miners Shut Off Rigs as Texas Power Grid Nears Brink,https://finance.yahoo.com/news/bitcoin-miners-shut-off-rigs-160908936.html,1
20,GameStop’s NFT Marketplace Goes Live,https://finance.yahoo.com/news/gamestop-nft-marketplace-goes-live-202000065.html,1
21,Celsius Repays $113 Million of Loans as Crypto Lender Fights Insolvency,https://finance.yahoo.com/news/celsius-repays-113-million-loans-201732268.html,1
22,Market Wrap: Bitcoin Retraces Gains as Investors Await Inflation Announcement,https://finance.yahoo.com/news/market-wrap-bitcoin-retraces-gains-201645149.html,1
23,Will be right back...,https://finance.yahoo.com/noticias/regulador-internacional-iosco-enfocar%C3%A1-reglas-194927158.html,1
24,The founders of bankrupt crypto hedge fund Three Arrows Capital are reportedly not cooperating with liquidators and their whereabouts are unknown,https://finance.yahoo.com/news/founders-bankrupt-crypto-hedge-fund-190126380.html,1
25,Citron's Left says crypto is a 'complete fraud',https://finance.yahoo.com/news/citrons-left-says-crypto-complete-183613359.html,1
26,Shiba Inu and Dogecoin Follow the Bears Falling by More Than 6%,https://finance.yahoo.com/news/shiba-inu-dogecoin-bears-falling-183417204.html,1
27,A Saudi Arabia-Themed NFT Collection is the Latest Free-to-Mint Hit,https://finance.yahoo.com/news/saudi-arabia-themed-nft-collection-182118547.html,1
28,XMR Keeps the Bulls Alive With a 5.6% Rally As Bitcoin Falls to $20K,https://finance.yahoo.com/news/xmr-keeps-bulls-alive-5-174915805.html,1
29,Will be right back...,https://finance.yahoo.com/m/860be937-c218-3005-9366-1e535834f060/texas-crypto-mining-firms.html,1
30,Will be right back...,https://finance.yahoo.com/m/b1e32794-4a82-3db7-bb6f-3afaf8fbc1d6/opinion-crypto-liquidity.html,1
31,"Crypto Price Analysis July 11: QNT, GMT, MIOTA, AR, XTZ",https://finance.yahoo.com/news/crypto-price-analysis-july-11-171734594.html,1
32,"Not only is crypto a financial risk, but stablecoins could cause ‘contagion effects,’ Europe’s central bank writes in a blistering Web3 report",https://finance.yahoo.com/news/not-only-crypto-financial-risk-170940035.html,1
33,Will be right back...,https://finance.yahoo.com/m/d2872086-075c-30e9-acab-07a422f19277/m1-finance-prepares-to-add.html,1
34,"Bitcoin and ETH Price Prediction: Risk of Downside Break, UNI Could Surge To $8",https://finance.yahoo.com/news/bitcoin-eth-price-prediction-risk-152904495.html,1
35,Will be right back...,https://finance.yahoo.com/m/886ef636-71ad-35cb-9704-2685fedf4f52/crypto-price-check-.html,1
36,The DeFi Dictionary: Your Guide to Decentralized Finance,https://finance.yahoo.com/news/defi-dictionary-guide-decentralized-finance-144909586.html,1
37,How Jacobi AM Launched Europe’s First Bitcoin ETF,https://finance.yahoo.com/news/jacobi-am-launched-europe-first-144500090.html,1
38,Will be right back...,https://finance.yahoo.com/noticias/bitcoin-fase-acumulaci%C3%B3n-indicadores-onchain-144315820.html,1
39,Will be right back...,https://finance.yahoo.com/m/85820c3d-2ca4-3df1-8378-b3e83ffa6f22/bitcoin-is-sliding-two.html,1
40,Will be right back...,https://finance.yahoo.com/m/d92bfa70-a80c-3ff3-9e82-001afd6802d3/largest-cryptocurrencies-fall.html,1
41,First Mover Americas: BTC Struggles to Hold $20.5K and Twitter Shares Dip 6%,https://finance.yahoo.com/news/first-mover-americas-btc-struggles-135313651.html,1
42,"International Securities Regulator IOSCO to Focus on Global DeFi, Crypto Rules",https://finance.yahoo.com/news/international-securities-regulator-iosco-focus-130052782.html,1
43,Online donation platform Change helps charities fundraise in crypto,https://finance.yahoo.com/news/online-donation-platform-change-helps-120038483.html,1
44,"Bitcoin Is More Likely to Hit $10,000 Than $30,000, Survey Finds",https://finance.yahoo.com/news/bitcoin-more-likely-hit-10-233000830.html,1
45,5 Things to Know in Crypto Today,https://finance.yahoo.com/news/5-things-know-crypto-today-112911270.html,1
46,Why Bitcoin is still a good investment despite the bear market,https://finance.yahoo.com/news/why-bitcoin-still-good-investment-110100038.html,1
47,Global Financial Watchdog FSB to Propose Crypto Regulations in October,https://finance.yahoo.com/news/global-financial-watchdog-fsb-propose-103930061.html,1
48,"Exclusive-Binance served crypto traders in Iran for years despite U.S. sanctions, clients say",https://finance.yahoo.com/news/exclusive-binance-served-crypto-traders-101917832.html,1
49,"Bitcoin, Ethereum rebound pulls back amid worries of BTC dump from Mt. Gox, Celsius",https://finance.yahoo.com/news/bitcoin-ethereum-rebound-pulls-back-094405515.html,1
50,"Bitcoin in 'Accumulation' Phase, Onchain Indicators Suggest",https://finance.yahoo.com/news/bitcoin-accumulation-phase-onchain-indicators-092335501.html,1
51,Global financial watchdog to step up crypto regulation,https://finance.yahoo.com/news/global-financial-watchdog-step-crypto-080341312.html,1
52,ING Bank Spins Off Its Crypto Custody Platform to GMEX Group,https://finance.yahoo.com/news/ing-bank-spins-off-cryptocurrency-072444322.html,1
53,"Binance gets nod from Spain to offer crypto exchange, custody services",https://finance.yahoo.com/news/binance-gets-nod-spain-offer-064257944.html,1
54,Celsius lost over US$350 million in DeFi: report,https://finance.yahoo.com/news/celsius-lost-over-us-350-061145643.html,1
55,3AC crypto contagion spreads to Blockchain.com: report,https://finance.yahoo.com/news/3ac-crypto-contagion-spreads-blockchain-053603429.html,1
56,Crypto investments to count when determining conflict of interest: US gov’t ethics watchdog,https://finance.yahoo.com/news/crypto-investments-count-determining-conflict-051217129.html,1
57,Celsius crypto bankruptcy saga meets new restructuring lawyers: report,https://finance.yahoo.com/news/celsius-crypto-bankruptcy-saga-meets-045849815.html,1
58,"PSG sells US$220,000 NFT tickets for first Japan tour in 27 years",https://finance.yahoo.com/news/psg-sells-us-220-000-030927515.html,1
59,Bitcoin More Likely to Crash to $10K Than Hit $30K: Market Survey,https://finance.yahoo.com/news/bitcoin-more-likely-crash-10k-021217645.html,1
60,Bitcoin (BTC) Fear & Greed Index Avoids Sub-20/100 Despite BTC Reversal,https://finance.yahoo.com/news/bitcoin-btc-fear-greed-index-004550786.html,1
61,First Mover Asia: Bitcoin Slides; Mixed Crypto Legacy in Hong Kong for the FCA's Incoming CEO,https://finance.yahoo.com/news/first-mover-asia-bitcoin-slides-002848255.html,1
62,Crypto Market Daily Highlights – BNB and XRP Hit Reverse,https://finance.yahoo.com/news/crypto-market-daily-highlights-bnb-001528266.html,1
63,"Top 5 Cryptocurrency Pairs to Watch this Week: BTC, ETH, AAVE, QNT, RUNE",https://finance.yahoo.com/news/top-5-cryptocurrency-pairs-watch-223528508.html,1
64,Will be right back...,https://finance.yahoo.com/m/46789e4d-17f1-3bcd-81ee-7e6caf71becb/how-to-pay-with-cryptocurrency.html,1
65,Will be right back...,https://finance.yahoo.com/m/dcc17a84-c3e3-348a-9100-3b28cafc9c03/troubled-crypto-lender.html,1
66,"Crypto Is Trying Out Traditional Finance’s Failures in Hyperspeed, but It’s Going to Be Fine",https://finance.yahoo.com/news/crypto-trying-traditional-finance-failures-145000627.html,1
67,Will be right back...,https://finance.yahoo.com/m/b30bb592-ee62-3ca1-a381-5ce26e3261a1/crypto-liquidity-crisis-is-a.html,1
68,"DeFi Lending, Passive Income, and the Bear Market Risks",https://finance.yahoo.com/news/defi-lending-passive-income-bear-114641493.html,1
69,Will be right back...,https://finance.yahoo.com/m/5f5af33f-96bc-3019-83d3-d92dce900f1b/for-crypto-survivors-there.html,1
70,Bitcoin (BTC) Fear & Greed Index Holds Steady at 24/100 to Support BTC,https://finance.yahoo.com/news/bitcoin-btc-fear-greed-index-004247467.html,1
71,Crypto Market Daily Highlights – Cardano (ADA) Led the Top Ten,https://finance.yahoo.com/news/crypto-market-daily-highlights-cardano-001847600.html,1
72,Will be right back...,https://finance.yahoo.com/m/ff30829b-78d1-3f94-9c9a-c77f3229739d/what-s-the-environmental.html,1
73,"Dogecoin (DOGE) Consolidates Below Key Downtrend, Shiba Inu (SHIB) Eyes Breakout Above $0.000012",https://finance.yahoo.com/news/dogecoin-doge-consolidates-below-key-170942642.html,1
74,"5 Most Popular Cryptos This Week: SOL, DOGE, SHIB, XTZ, AAVE",https://finance.yahoo.com/news/5-most-popular-cryptos-week-160808158.html,1
75,Crypto Exchange CoinFlex Now Seeking to Recover $84 Million,https://finance.yahoo.com/news/crypto-exchange-coinflex-now-seeking-134828325.html,1
76,Will be right back...,https://finance.yahoo.com/m/4220cea2-cd90-3bf3-bd19-dc71b4639d12/cryptocurrency-is-coming-to.html,1
77,Is crypto really democratizing finance? New data shows a class divide between low-income users and rich investors,https://finance.yahoo.com/news/crypto-really-democratizing-finance-data-130000628.html,1
78,Is everything going back to February 2020?: Morning Brief,https://finance.yahoo.com/news/morning-brief-july-9-2022-110021299.html,1
79,Will be right back...,https://finance.yahoo.com/m/72e3d8f9-5cf1-38f3-81f6-d65f1abcff26/crypto-rout-deflates-some.html,1
80,Will be right back...,https://finance.yahoo.com/m/cafece7d-6134-32e6-9120-3f92b20be649/miami%E2%80%99s-gold-rush-finance.html,1
81,Whales and Hodlers: How Holding on to BTC Could See You Through a Crypto Winter,https://finance.yahoo.com/news/whales-hodlers-holding-btc-could-033913987.html,1
82,Will be right back...,https://finance.yahoo.com/m/bd58e26e-8172-31fc-b20a-81f7483a621e/under-buffett-berkshire-is.html,1
83,Bitcoin (BTC) Fear & Greed Index Forms Upward Trend by Hitting 24/100,https://finance.yahoo.com/news/bitcoin-btc-fear-greed-index-004849267.html,1
84,Crypto Market Daily Highlights – ADA and DOGE Struggle,https://finance.yahoo.com/news/crypto-market-daily-highlights-ada-002335324.html,1
85,‘I’m out millions of dollars’: Thousands of crypto investors have their life savings frozen as Voyager files for bankruptcy protection,https://finance.yahoo.com/news/m-millions-dollars-thousands-crypto-223605273.html,1
86,Will be right back...,https://finance.yahoo.com/m/9328a6c3-e41c-3a25-ac50-a1f55cb2fd9f/crypto-%C2%A0liquidity-crisis.html,1
87,Will be right back...,https://finance.yahoo.com/m/52b1d08b-0d7d-31ed-9398-aafd9ff854e5/asset-manager-claims-crypto.html,1
88,Market Wrap: Bitcoin Gains for Third Consecutive Day as Binance Launches Zero Trading Fees,https://finance.yahoo.com/news/market-wrap-bitcoin-gains-third-204217961.html,1
89,Will be right back...,https://finance.yahoo.com/m/fc8f1fd3-97ff-3bb4-9a17-1c5beb7db529/mark-cuban-caught-in.html,1
90,"Bitcoin Will Make a Comeback, Rockefeller International Chairman Says",https://finance.yahoo.com/news/bitcoin-comeback-rockefeller-international-chairman-201512774.html,1
91,Will be right back...,https://finance.yahoo.com/m/1320a0e9-ab3d-3919-84c2-295c39b02245/crypto-broker-voyager%E2%80%99s.html,1
92,Bitcoin vs. Stablecoins: Who’s the Top Contender in the Payment Revolution?,https://finance.yahoo.com/news/bitcoin-vs-stablecoins-top-contender-194843299.html,1
93,Will be right back...,https://finance.yahoo.com/m/d0cda98b-6912-3334-9ea4-a2282989f30c/does-the-wash-sale-rule-apply.html,1
94,Will be right back...,https://finance.yahoo.com/m/1577a325-cb32-3ab5-93e5-e163fb60b631/these-companies-hopped-on-the.html,1
95,Voyager Judge Gets a Lesson in Crypto as Bankruptcy Case Kicks Off,https://finance.yahoo.com/news/voyager-judge-gets-lesson-crypto-181531546.html,1
96,"Celsius Looks Sloppy in New Lawsuit, but So Does the DeFi Legend Suing It",https://finance.yahoo.com/news/celsius-looks-sloppy-lawsuit-does-172325367.html,1
97,Will be right back...,https://finance.yahoo.com/m/af1ce96b-d80f-3c11-a3cd-fcaaeb37348a/10-important-cryptocurrencies.html,1
98,"Three Arrows Wanted a $100M NFT Collection. Instead, It’s Worth Less Than $5M",https://finance.yahoo.com/news/three-arrows-wanted-100m-nft-161811450.html,1
99,US Fed Vice Chair Brainard Doesn’t Like What She’s Seeing in Crypto,https://finance.yahoo.com/news/us-fed-vice-chair-brainard-154754515.html,1
100,There’s a new crypto stablecoin on the block and it’s the first to be backed by the euro,https://finance.yahoo.com/news/crypto-stablecoin-block-first-backed-152130573.html,1
101,"Bitcoin, ETH and AAVE Price Prediction: Strengthening Bullish Case",https://finance.yahoo.com/news/bitcoin-eth-aave-price-prediction-150834571.html,1
102,Will be right back...,https://finance.yahoo.com/m/bc2ca293-659a-3987-9385-5adc8d4cc508/crypto-industry-should-face.html,1
103,Bitcoin Is on Course for Its Biggest Weekly Gain Since March,https://finance.yahoo.com/news/bitcoin-rides-stock-rally-hit-202625350.html,1
104,Will be right back...,https://finance.yahoo.com/m/8089c8e3-0193-3033-80c8-fa315f550044/fed%E2%80%99s-brainard-says-crypto.html,1
105,Is cryptocurrency a good investment? I invested thousands and here's why I think it's still wise.,https://finance.yahoo.com/news/cryptocurrency-good-investment-invested-thousands-090132007.html,1
106,Fed's Brainard urges swift action on regulating cryptocurrencies,https://finance.yahoo.com/news/feds-brainard-urges-swift-action-141839078.html,1
107,Crypto Exchange Blockchain.com Faces $250M Hit on Loans to Three Arrows Capital,https://finance.yahoo.com/news/crypto-exchange-blockchain-com-faces-141827336.html,1
108,Will be right back...,https://finance.yahoo.com/m/f47ad72e-a832-30a8-ab0d-4c069bb7693e/largest-cryptocurrencies-fall.html,1
109,Bitcoin Retaining Its Appeal Among Venture Capital Firms,https://finance.yahoo.com/news/bitcoin-retaining-appeal-among-venture-134629193.html,1
110,First Mover Americas: Bitcoin’s Bear Cross (Is Bullish) and a Big June Jobs Beat,https://finance.yahoo.com/news/first-mover-americas-bitcoin-bear-134443698.html,1
111,Will be right back...,https://finance.yahoo.com/noticias/bitcoin-cruz-bajista-aumenta-perspectiva-133207731.html,1
112,Unpacking the Latest Bitcoin ETF Rejections,https://finance.yahoo.com/news/unpacking-latest-bitcoin-etf-rejections-133000387.html,1
113,Bank of Spain includes Binance in its crypto registry,https://finance.yahoo.com/news/bank-spain-includes-binance-crypto-132539837.html,1
114,Russia to improve crypto transaction monitoring as regulation draws closer,https://finance.yahoo.com/news/russia-improve-crypto-transaction-monitoring-131416428.html,1
115,Will be right back...,https://finance.yahoo.com/m/62276b24-b2e5-300f-993e-ae8c5714b8f3/bitcoin-soars-as-crypto.html,1
116,India's Law Enforcement Agency Probes Crypto Exchanges For Forex Violations,https://finance.yahoo.com/news/indias-law-enforcement-agency-probes-120659513.html,1
117,XRP Leads Recovery Among Major Cryptocurrencies; Fed Policymakers Back 75 Basis Point Hike,https://finance.yahoo.com/news/xrp-leads-recovery-among-major-114557151.html,1
118,Will be right back...,https://finance.yahoo.com/m/e533d0a7-6da0-347c-9301-be5e5ba5bfb5/tampa-bitcoin-miner-locks-in.html,1
119,Will be right back...,https://finance.yahoo.com/m/6a9ab208-af29-38c2-af84-e539a36fcf71/bitcoin-is-way-down-%E2%80%94-what-s.html,1
120,Crypto Mining Stocks Bounce Amid Bitcoin Recovery,https://finance.yahoo.com/news/crypto-mining-stocks-bounce-amid-104234363.html,1
121,Bitcoin 'Bear Cross' Raises Outlook for Bull Revival,https://finance.yahoo.com/news/bitcoin-bear-cross-raises-outlook-084217884.html,1
122,India’s Directorate of Enforcement said to question crypto exchanges,https://finance.yahoo.com/news/india-directorate-enforcement-said-crypto-054829976.html,1
123,DeFi Platform Aave Unveils Another Decentralized Stablecoin,https://finance.yahoo.com/news/defi-platform-aave-unveils-another-030641601.html,1
124,Crypto Lender Celsius Accused of Being ‘Ponzi Scheme’,https://finance.yahoo.com/news/embattled-crypto-lender-celsius-accused-022307461.html,1
125,Bitcoin price crosses US$22K; Fed cools recession fears,https://finance.yahoo.com/news/bitcoin-price-crosses-us-22k-021611669.html,1
126,Animoca says crypto winter ‘a great time’ for venture capitalists,https://finance.yahoo.com/news/animoca-says-crypto-winter-great-020921634.html,1
127,Crypto Market Brushes Aside US Treasury Framework for Digital Assets,https://finance.yahoo.com/news/crypto-market-brushes-aside-us-012342752.html,1
128,Bitcoin (BTC) Fear & Greed Index Hits Highest Level Since May 7,https://finance.yahoo.com/news/bitcoin-btc-fear-greed-index-010615421.html,1
129,Lawsuit accuses troubled crypto lender Celsius Network of fraud,https://finance.yahoo.com/news/lawsuit-accuses-troubled-crypto-lender-002720843.html,1
130,"Crypto Market Daily Highlights – Bitcoin (BTC) Eyed a Return to $22,000",https://finance.yahoo.com/news/crypto-market-daily-highlights-bitcoin-002006079.html,1
131,First Mover Asia: Three Arrows Capital Court Order Reveals Interesting Details; Bitcoin Soars Past $21.5K,https://finance.yahoo.com/news/first-mover-asia-three-arrows-234337520.html,1
132,Bitcoin Core Developer Pieter Wuille Scales Back His Maintenance Role,https://finance.yahoo.com/news/bitcoin-core-developer-pieter-wuille-224747194.html,1
133,Will be right back...,https://finance.yahoo.com/m/79dc16d2-4e47-3641-bf12-56b95fef5eb7/7-ways-to-short-bitcoin.html,1
134,Marathon Digital Continues to Hodl All Bitcoin but Hints at Strategy Change,https://finance.yahoo.com/news/marathon-digital-continues-hodl-bitcoin-220534653.html,1
135,"U.S. Treasury calls on Biden to work with G7, key allies on regulating crypto",https://finance.yahoo.com/news/first-of-agency-reports-on-regulating-crypto-at-president-bidens-executive-order-rolled-out-220400196.html,1
136,Celsius Sends $500M of Bitcoin Derivative to Crypto Exchange After Debt Payoff,https://finance.yahoo.com/news/celsius-sends-500m-bitcoin-derivative-205853204.html,1
137,"The crypto CEO who roiled his company culture by refusing to ‘forbid offensiveness’ clarifies his stance, saying employees should act like Disneyland workers dressed up as Mickey Mouse",https://finance.yahoo.com/news/crypto-ceo-roiled-company-culture-204134923.html,1
138,Market Wrap: Bitcoin Climbs Above $21K for First Time in a Week,https://finance.yahoo.com/news/market-wrap-bitcoin-climbs-above-202718141.html,1
139,Is the Fed Coming Around on Crypto?,https://finance.yahoo.com/news/fed-coming-around-crypto-201931303.html,1
140,US Treasury Develops 'Framework' for International Crypto Regulation,https://finance.yahoo.com/news/us-treasury-develops-framework-international-200820634.html,1
141,Latin American Exchange Bitso Brings Crypto Remittance Service in Colombia,https://finance.yahoo.com/news/latin-american-exchange-bitso-brings-200720905.html,1
142,Will be right back...,https://finance.yahoo.com/m/19f83da7-4911-30b7-924e-dc5fb805482d/is-your-crypto-on-celsius-or.html,1
143,Does the Crypto Crash Affect Web3’s Future?,https://finance.yahoo.com/news/does-crypto-crash-affect-web3-190405148.html,1
144,Shiba Inu and Dogecoin Imitate Each Other With a 4.6% and 5.4% Rally,https://finance.yahoo.com/news/shiba-inu-dogecoin-imitate-other-185111483.html,1
145,FDIC Probing How Bankrupt Crypto Broker Voyager Marketed Itself,https://finance.yahoo.com/news/fdic-probing-bankrupt-crypto-broker-183939736.html,1
146,What's Your NFT Really Worth? This Man Is Using AI to Find Out,https://finance.yahoo.com/news/whats-nft-really-worth-man-181127565.html,1
147,Cryptocurrency is an Emerging Industry (Part One),https://finance.yahoo.com/news/cryptocurrency-emerging-industry-part-one-180547563.html,1
148,Will be right back...,https://finance.yahoo.com/m/7b02bc35-4ce3-3a86-b665-ec628952f962/elon-musk-s-boring-company.html,1
149,How Could Friday’s US NFP Data Impact Crypto?,https://finance.yahoo.com/news/could-friday-us-nfp-data-174837800.html,1
150,"Gas prices: The ‘biggest factor' is Vladimir Putin, says analyst",https://finance.yahoo.com/news/gas-prices-the-biggest-factor-is-vladimir-putin-says-analyst-154620663.html,0
151,Supply chains: How the pandemic may lead more manufacturers to the U.S.,https://finance.yahoo.com/news/supply-chains-manufacturers-to-the-us-120722956.html,0
152,"Inflation: Customers ‘are starting to be a little more frugal,’ Stew Leonard’s CEO says",https://finance.yahoo.com/news/inflation-customers-frugal-stew-leonards-120754086.html,0
153,'Fed isn't trying to kill the economy — it's trying to end free money': Strategist,https://finance.yahoo.com/news/fed-isnt-trying-to-kill-the-economy-its-trying-to-end-free-money-strategist-183419698.html,0
154,Jobs data 'make a mockery' of recession fears: Economists react to June's employment report,https://finance.yahoo.com/news/economists-react-to-junes-blowout-report-180922367.html,0
155,"Gas: ‘I expect to see lower pump prices over the next month or so’, analyst says",https://finance.yahoo.com/news/lower-gas-prices-high-demand-analyst-163218975.html,0
156,"June jobs report: U.S. economy adds 372,000 jobs, unemployment rate steady at 3.6%",https://finance.yahoo.com/news/june-jobs-report-july-8-2022-211628954.html,0
